product_name,product_price,product_image,product_url,product_brand
Jordan x Travis Scott 'Air Jordan 1 OG' Sneakers,3.246,https://cdn-images.farfetch-contents.com/14/16/49/97/14164997_18967949_300.jpg,/de/shopping/men/jordan-jordan-x-travis-scott-air-jordan-1-og-sneakers-item-14077010.aspx,Jordan
Vans x Supreme 'Authentic Pro' Sneakers,3.226,https://cdn-images.farfetch-contents.com/14/16/49/97/14164997_18967950_300.jpg,/de/shopping/men/vans-vans-x-supreme-authentic-pro-sneakers-item-15752067.aspx,Vans
'Kyrie NBA 2K18 Road to 99' High-Top-Sneakers,3.226,https://cdn-images.farfetch-contents.com/14/16/47/29/14164729_21073245_300.jpg,/de/shopping/men/nike-kyrie-nba-2k18-road-to-99-high-top-sneakers-item-14592354.aspx,Nike
'Chuck 70' High-Top-Sneakers,3.226,https://cdn-images.farfetch-contents.com/14/16/47/29/14164729_21073247_300.jpg,/de/shopping/men/converse-chuck-70-high-top-sneakers-item-14164881.aspx,Converse
check print slip-on sneakers,75,https://cdn-images.farfetch-contents.com/14/13/35/30/14133530_18797287_300.jpg,/in/shopping/men/vans-check-print-slip-on-sneakers-item-14133530.aspx?storeid=11218,Vans
Authentic sneakers,75,https://cdn-images.farfetch-contents.com/14/13/35/30/14133530_18797289_300.jpg,/in/shopping/men/vans-authentic-sneakers-item-14106788.aspx?storeid=11218,Vans
Alphabounce EM M sneakers,75,https://cdn-images.farfetch-contents.com/14/10/67/88/14106788_18658624_300.jpg,/in/shopping/men/adidas-alphabounce-em-m-sneakers-item-14096401.aspx?storeid=11218,adidas
classic slip-on sneakers,75,https://cdn-images.farfetch-contents.com/14/10/67/88/14106788_18658625_300.jpg,/in/shopping/men/vans-classic-slip-on-sneakers-item-14040772.aspx?storeid=11218,Vans
Continental 80 low top sneakers,75,https://cdn-images.farfetch-contents.com/14/09/64/01/14096401_18504776_300.jpg,/in/shopping/men/adidas-continental-80-low-top-sneakers-item-13955804.aspx?storeid=11218,adidas
Cut and Paste slip on sneakers,75,https://cdn-images.farfetch-contents.com/14/09/64/01/14096401_18504777_300.jpg,/in/shopping/men/vans-cut-and-paste-slip-on-sneakers-item-13699230.aspx?storeid=11218,Vans
Nike Roshe One sneakers,75,https://cdn-images.farfetch-contents.com/14/04/07/72/14040772_18309151_300.jpg,/in/shopping/men/nike-nike-roshe-one-sneakers-item-13678210.aspx?storeid=11218,Nike
Continental 80 sneakers,75,https://cdn-images.farfetch-contents.com/14/04/07/72/14040772_18309162_300.jpg,/in/shopping/men/adidas-continental-80-sneakers-item-13553358.aspx?storeid=11218,adidas
Authentic OTW Repeat sneakers,75,https://cdn-images.farfetch-contents.com/13/95/58/04/13955804_21704054_300.jpg,/in/shopping/men/vans-authentic-otw-repeat-sneakers-item-13522670.aspx?storeid=11218,Vans
u authentic sneakers,75,https://cdn-images.farfetch-contents.com/13/95/58/04/13955804_21704058_300.jpg,/in/shopping/men/vans-u-authentic-sneakers-item-13421213.aspx?storeid=11218,Vans
purple Temper Run suede sneakers,75,https://cdn-images.farfetch-contents.com/13/69/92/30/13699230_21614736_300.jpg,/in/shopping/men/adidas-purple-temper-run-suede-sneakers-item-13379827.aspx?storeid=11218,adidas
Sk8-Hi Reissue sneakers ,75,https://cdn-images.farfetch-contents.com/13/69/92/30/13699230_21614737_300.jpg,/in/shopping/men/vans-sk8-hi-reissue-sneakers-item-13171532.aspx?storeid=11218,Vans
Workout Plus Vintage sneakers,75,https://cdn-images.farfetch-contents.com/13/67/82/10/13678210_18727319_300.jpg,/in/shopping/men/reebok-workout-plus-vintage-sneakers-item-11910619.aspx?storeid=11218,Reebok
Adilette Superstar slides,79,https://cdn-images.farfetch-contents.com/13/67/82/10/13678210_18727320_300.jpg,/in/shopping/men/adidas-adilette-superstar-slides-item-15619042.aspx?storeid=11083,adidas
printed logo slides,80,https://cdn-images.farfetch-contents.com/13/55/33/58/13553358_21559583_300.jpg,/in/shopping/men/ea7-emporio-armani-printed-logo-slides-item-14082387.aspx?storeid=11918,Ea7 Emporio Armani
rubber flip flops,80,https://cdn-images.farfetch-contents.com/13/55/33/58/13553358_21559585_300.jpg,/in/shopping/men/birkenstock-rubber-flip-flops-item-13864400.aspx?storeid=9709,Birkenstock
Madrid sandals,80,https://cdn-images.farfetch-contents.com/13/52/26/70/13522670_26322453_300.jpg,/in/shopping/men/birkenstock-madrid-sandals-item-12093663.aspx?storeid=9709,Birkenstock
Arizona sandals,80,https://cdn-images.farfetch-contents.com/13/52/26/70/13522670_26322454_300.jpg,/in/shopping/men/birkenstock-arizona-sandals-item-12093662.aspx?storeid=9709,Birkenstock
buckled T-bar sandals,80,https://cdn-images.farfetch-contents.com/13/42/12/13/13421213_15419181_300.jpg,/in/shopping/men/birkenstock-buckled-t-bar-sandals-item-11300688.aspx?storeid=9709,Birkenstock
Vibram portable performance soles,81,https://cdn-images.farfetch-contents.com/13/42/12/13/13421213_15419183_300.jpg,/in/shopping/men/bally-vibram-portable-performance-soles-item-15943629.aspx?storeid=9089,Bally
Honolulu Eva flat sandals ,81,https://cdn-images.farfetch-contents.com/13/37/98/27/13379827_21456638_300.jpg,/in/shopping/men/birkenstock-honolulu-eva-flat-sandals-item-15814785.aspx?storeid=12667,Birkenstock
Honolulu thong sandals,81,https://cdn-images.farfetch-contents.com/13/37/98/27/13379827_21456640_300.jpg,/in/shopping/men/birkenstock-honolulu-thong-sandals-item-15814784.aspx?storeid=12667,Birkenstock
Gizeh Eva flat sandals ,81,https://cdn-images.farfetch-contents.com/13/17/15/32/13171532_21541529_300.jpg,/in/shopping/men/birkenstock-gizeh-eva-flat-sandals-item-15814782.aspx?storeid=12667,Birkenstock
Barbados Eva sandals,81,https://cdn-images.farfetch-contents.com/13/17/15/32/13171532_21541531_300.jpg,/in/shopping/men/birkenstock-barbados-eva-sandals-item-15814781.aspx?storeid=12667,Birkenstock
Honolulu EVA flip-flops,81,https://cdn-images.farfetch-contents.com/11/91/06/19/11910619_9068416_300.jpg,/in/shopping/men/birkenstock-honolulu-eva-flip-flops-item-15804633.aspx?storeid=12667,Birkenstock
Honolulu thong sandals,81,https://cdn-images.farfetch-contents.com/11/91/06/19/11910619_9068418_300.jpg,/in/shopping/men/birkenstock-honolulu-thong-sandals-item-15804632.aspx?storeid=12667,Birkenstock
Gizeh Eva flat sandals ,81,https://cdn-images.farfetch-contents.com/15/61/90/42/15619042_28195614_300.jpg,/in/shopping/men/birkenstock-gizeh-eva-flat-sandals-item-15804631.aspx?storeid=12667,Birkenstock
rubber flip flops,81,https://cdn-images.farfetch-contents.com/15/61/90/42/15619042_28195615_300.jpg,/in/shopping/men/birkenstock-rubber-flip-flops-item-13864399.aspx?storeid=12667,Birkenstock
double buckle sandals,81,https://cdn-images.farfetch-contents.com/14/08/23/87/14082387_18539888_300.jpg,/in/shopping/men/birkenstock-double-buckle-sandals-item-12902579.aspx?storeid=12667,Birkenstock
Arizona sandals,81,https://cdn-images.farfetch-contents.com/14/08/23/87/14082387_18539889_300.jpg,/in/shopping/men/birkenstock-arizona-sandals-item-11998492.aspx?storeid=12667,Birkenstock
Era low-top sneakers,82,https://cdn-images.farfetch-contents.com/13/86/44/00/13864400_21684533_300.jpg,/in/shopping/men/vans-era-low-top-sneakers-item-14971926.aspx?storeid=11218,Vans
Superstar J sneakers,82,https://cdn-images.farfetch-contents.com/13/86/44/00/13864400_21684538_300.jpg,/in/shopping/men/adidas-superstar-j-sneakers-item-14431159.aspx?storeid=11218,adidas
JP OX sneakers,82,https://cdn-images.farfetch-contents.com/12/09/36/63/12093663_23957265_300.jpg,/in/shopping/men/converse-jp-ox-sneakers-item-14237218.aspx?storeid=11218,Converse
Yung-96 sneakers,82,https://cdn-images.farfetch-contents.com/12/09/36/63/12093663_23957266_300.jpg,/in/shopping/men/adidas-yung-96-sneakers-item-13989632.aspx?storeid=11218,adidas
